ENSG00000086475	ENSG00000086475
ENSG00000086666	ENSG00000127191
ENSG00000087076	ENSG00000087076
ENSG00000087076	ENSG00000156795
ENSG00000087076	ENSG00000175197
ENSG00000087076	ENSG00000275074
ENSG00000087077	ENSG00000105991
ENSG00000087077	ENSG00000124019
ENSG00000087077	ENSG00000160972
ENSG00000087077	ENSG00000175294
ENSG00000087077	ENSG00000183386
ENSG00000087077	ENSG00000183508
ENSG00000087077	ENSG00000196313
ENSG00000087077	ENSG00000240583
ENSG00000087086	ENSG00000087086
ENSG00000087086	ENSG00000167996
ENSG00000087191	ENSG00000105048
ENSG00000087191	ENSG00000171346
ENSG00000087237	ENSG00000182944
ENSG00000087365	ENSG00000143368
ENSG00000087448	ENSG00000130307
ENSG00000087448	ENSG00000135018
ENSG00000087448	ENSG00000142552
ENSG00000087448	ENSG00000197019
ENSG00000087903	ENSG00000112559
ENSG00000087903	ENSG00000185002
ENSG00000088002	ENSG00000109193
ENSG00000088002	ENSG00000155749
ENSG00000088992	ENSG00000108557
ENSG00000088992	ENSG00000123106
ENSG00000088992	ENSG00000140382
ENSG00000088992	ENSG00000165169
ENSG00000089682	ENSG00000092199
ENSG00000089682	ENSG00000165119
ENSG00000089682	ENSG00000175602
ENSG00000089682	ENSG00000184672
ENSG00000089775	ENSG00000105700
ENSG00000089775	ENSG00000112559
ENSG00000089775	ENSG00000120896
ENSG00000089775	ENSG00000127191
ENSG00000090020	ENSG00000112559
ENSG00000090061	ENSG00000101624
ENSG00000090061	ENSG00000103154
ENSG00000090061	ENSG00000117266
ENSG00000090061	ENSG00000130307
ENSG00000090061	ENSG00000131721
ENSG00000090061	ENSG00000135604
ENSG00000090061	ENSG00000140382
ENSG00000090061	ENSG00000157110
ENSG00000090061	ENSG00000161202
ENSG00000090061	ENSG00000166925
ENSG00000090061	ENSG00000172638
ENSG00000090061	ENSG00000175602
ENSG00000090061	ENSG00000185002
ENSG00000090061	ENSG00000198553
ENSG00000090061	ENSG00000213416
ENSG00000090487	ENSG00000103365
ENSG00000090487	ENSG00000104643
ENSG00000090487	ENSG00000105404
ENSG00000090487	ENSG00000115310
